Sr No,UDISE,Area,District,College Name,College Type,Choice Code,Stream,Medium,Management Type,Intake,Total Fee,SC,ST,VJA,NTB,NTC,NTD,OBC,SBC,SEBC,EWS,Management,Inhouse,General
38,27211006507,NAVI MUMBAI-URC1 (272110),THANE,"SANPADA COLLEGE OF COMMERCE & TECHNOLOGY, SANPADA , PLOT -3 4 5 SECTOR -2 BEHIND SANPADA RAILWAY STATION SANPADA",Co-Ed,MU6438CFE,Commerce,English,Private Sanstha,600,17000,,,,,,,,,,,,,269
39,27211001705,NAVI MUMBAI-URC1 (272110),THANE,"SARSWATI VID ENG SEC , Sector-5, Airoli, Navi Mumbai. 400708",Co-Ed,MU6394CFE,Commerce,English,Private Sanstha,80,11200,,,,,,,,,,,,,
40,27211002102,NAVI MUMBAI-URC1 (272110),THANE,"SHETKARI SHIKSHAN SEC & HSEC , Shetkari Shikshan Sanstha Vidya Sankul, Ghansoli Gaon Ghansoli",Co-Ed,MU6395CNE,Commerce,English,Private Sanstha,80,6000,,,,,,,,,,,,,
41,27211002102,NAVI MUMBAI-URC1 (272110),THANE,"SHETKARI SHIKSHAN SEC & HSEC , Shetkari Shikshan Sanstha Vidya Sankul, Ghansoli Gaon Ghansoli",Co-Ed,MU6395CGE,Commerce,English,Private Sanstha,40,300,,,,,,,,,,,,,
42,27211006815,NAVI MUMBAI-URC1 (272110),THANE,"SHIRVANE VIDYALAYA & JR. COLLEGE, NERUL , PHASE II PLOT NO 12 SECTOR 2 NERUL ",Co-Ed,MU6441CFE,Commerce,English,Private Sanstha,240,6500,,,,,,,,,,,,,268
43,27211007406,NAVI MUMBAI-URC1 (272110),THANE,"SIES JUNIOR COLLEGE OF COMMERCE, NERUL , SRI CHANDRASHEKHAR SAEASWATI VIDYAPURAM PLOT-1-C SEC-V NERUL, NAVI MUMBAI",Co-Ed,MU6448CNE,Commerce,English,Private Sanstha,240,6450,,,,,,,,,,,,,449
44,27211001205,NAVI MUMBAI-URC1 (272110),THANE,"SMT. SUSHILADEVI DESHMUKH JR. COLLEGE, AIROLI , SECTOR-4, AIROLI, NAVI MUMBAI 400708",Co-Ed,MU6386CNE,Commerce,English,Private Sanstha,400,12500,,,,,,,,,,,,,
45,27211004802,NAVI MUMBAI-URC1 (272110),THANE,"ST. MARY'S SCH ENG SEC&HSEC , SECTOR 10 A VASHI",Co-Ed,MU6424CNE,Commerce,English,Private Sanstha,160,45230,,,,,,,,,,,,,404
46,27211007203,NAVI MUMBAI-URC1 (272110),THANE,"ST. XAVIER'S HIGH SCHOOL & JR. COLLEGE, NERUL , PLOT NO 11 SECTOR-3 , NERUL, NAVI MUMBAI",Co-Ed,MU6445CFE,Commerce,English,Private Sanstha,120,52650,,,,,,,,,,,,,365
47,27211008106,NAVI MUMBAI-URC1 (272110),THANE,"STERLING JR. COLLEGE OF ARTS & COMMERCE, NERUL , PLOT NO 93 SEC 19 NEAR BY HAWARE MALL NERUL NAVI MUMBAI",Co-Ed,MU6457CFE,Commerce,English,Private Sanstha,240,6940,,,,,,,,,,,,,396
48,27211002628,NAVI MUMBAI-URC1 (272110),THANE,"SWAMI VIVEKANAND ENGLISH HIGH SCHOOL & JR COLLEGE , PLOT NO 30 SECTOR 05 KOPARKHAIRANE NAVI MUMBAI",Co-Ed,MU6400CFE,Commerce,English,Private Sanstha,80,16100,,,,,,,,,,,,,
49,27211003216,NAVI MUMBAI-URC1 (272110),THANE,"SWAMI VIVEKANAND JR. COLEGE OF SCIENCE AND COMMERCE, KOPARKHAIRANE , PLOT NO 30 SECTOR 05 KOPARKHAIRANE NAVI MUMBAI",Co-Ed,MU6406CNE,Commerce,English,Private Sanstha,400,16100,,,,,,,,,,,,,
50,27211007704,NAVI MUMBAI-URC1 (272110),THANE,"TERANA VID MAR SEC &HSEC ARTS , SECTOR- 12 PHASE-II, NERUL, NAVIMUMBAI",Co-Ed,MU6452CNE,Commerce,English,Private Sanstha,80,6500,,,,,,,,,,,,,363
51,27211007408,NAVI MUMBAI-URC1 (272110),THANE,"TILAK JR. COLLEGE OF SCIENCE & COMMERCE, NERUL , PLOT NO. 31, SECTOR-25, SEAWOODS, NERUL(E), NAVI MUMBAI-400 706",Co-Ed,MU6450CFE,Commerce,English,Private Sanstha,600,32145,,,,,,,,,,,,,300
52,27211002727,NAVI MUMBAI-URC1 (272110),THANE,"TILAK JUNIOR COLLEGE OF SCIENCE & COMMERCE, GHANSOLI , PLOT NO 22 SECTOR 5 NEAR GHANSOLI RAILWAY STATION, GHANSOLI",Co-Ed,MU6402CFE,Commerce,English,Private Sanstha,240,27980,,,,,,,,,,,,,
53,27211004504,NAVI MUMBAI-URC1 (272110),THANE,"TILAK JUNIOR COLLEGE OF SCIENCE & COMMERCE, VASHI  , PLOT NO.131 SECTOR 28 VASHI NAVI MUMBAI",Co-Ed,MU6420CFE,Commerce,English,Private Sanstha,600,32145,,,,,,,,,,,,,300
54,27211007802,NAVI MUMBAI-URC1 (272110),THANE,"VIDYA BHAWAN HIGH SCHOOL & JR. COLLEGE, NERUL , Plot No. 32, Sector-18, Nerul, Navi Mumbai-400706",Co-Ed,MU6454CFE,Commerce,English,Private Sanstha,80,9000,,,,,,,,,,,,,355
55,27211002617,NAVI MUMBAI-URC1 (272110),THANE,"VISHWABHARATI HIGH SCHOOL AND JUNIOR COLLEGE , PLOT NO 01 SECTOR 2A KOPARKHAIRANE ",Co-Ed,MU6398CFE,Commerce,English,Private Sanstha,80,13650,,,,,,,,,,,,,
56,27211003517,NAVI MUMBAI-URC1 (272110),THANE,"VISHWABHARATI JR.COLLEGE,KOPARKHAIRANE , RH 380,381 SECTOR 18 KOPARKHAIRANE",Co-Ed,MU6413CFE,Commerce,English,Private Sanstha,80,7200,,,,,,,,,,,,,
57,27211006413,NAVI MUMBAI-URC1 (272110),THANE,"WESTERN  COLLEGE OF COMMERCE AND BUSINESS MANAGEMENT (JR. COLLEGE), SANPADA , PLOT NO. 2, SECTOR - 9 SANPADA NAVI MUMBAI",Co-Ed,MU6433CFE,Commerce,English,Private Sanstha,200,32890,,,,,,,,,,,,,342
